attribute,components
module,"calendar-full, chart, code-editor, scrollspy, tree-view, chat-input, chat-messages, chat-widget, table, color-picker, file-input, sign, lightbox, media-gallery, menu, sidebar-navigation, sidebar, csrf-keeper"
calendar-full,calendar-full
options,calendar-full
events,calendar-full
events-url,calendar-full
chart,chart
language,code-editor
readonly,code-editor
theme,code-editor
tab-size,code-editor
action,"code-editor, notification-bell, notification-item"
scrollspy,scrollspy
container,scrollspy
track,scrollspy
root-margin,scrollspy
threshold,scrollspy
smooth,scrollspy
offset,scrollspy
active-class,scrollspy
autogen,scrollspy
transfer-selectall,transfer
transfer-count,transfer
transfer-search,transfer
transfer-list,transfer
id,transfer
label,transfer
disabled,"transfer, tree-view, color-picker, sign"
checked,transfer
transfer-pager,transfer
transfer-page,transfer
transfer-move,transfer
tip,"transfer, tooltip"
treeview,tree-view
selection,tree-view
persist,tree-view
select-label,tree-view
control-size,tree-view
lazy-url,tree-view
lazy-param,tree-view
search-enabled,tree-view
search-min,tree-view
search-debounce,tree-view
search-url,tree-view
search-param,tree-view
search-auto,tree-view
tree-search-container,tree-view
tree-search,tree-view
tree-search-btn,tree-view
return,tree-view
radio-name,tree-view
trix-attachments,wysiwyg
trix-deferred,wysiwyg
version,changelog-version-item
send-message-url,chat-input
typing-url,chat-input
enable-file-upload,chat-input
max-file-size,chat-input
multiple-files,chat-input
show-file-preview,chat-input
use-websockets,"chat-input, chat-messages"
auto-reconnect,"chat-input, chat-messages"
load-messages-url,chat-messages
current-user-id,chat-messages
polling-interval,chat-messages
reconnect-delay,chat-messages
message-id-key,chat-messages
message-user-id-key,chat-messages
message-content-key,chat-messages
message-created-at-key,chat-messages
message-user-name-key,chat-messages
message-user-avatar-key,chat-messages
conversation-id,"chat-sidebar, conversation-view"
position,"chat-widget, media-gallery"
minimized,chat-widget
url,"notification-bell, notification-item, file-preview"
key,"notification-bell, notification-list"
filter-name,notification-filters
on-filter-change,notification-filters
notification-id,notification-item
read,notification-item
filename,file-preview
table-select,table
indeterminate,"checkbox, toggle"
colorpicker,color-picker
value,color-picker
dropdown,color-picker
swatches,color-picker
swatches-height,color-picker
show-palette,color-picker
show-inputs,color-picker
show-format-toggle,color-picker
show-alpha,color-picker
show-hue,color-picker
fileinput,file-input
preview,file-input
multiple,file-input
inputmask,input
uncheckable,radio
role,select
sign,sign
width,sign
height,sign
pen-color,sign
min-width,sign
max-width,sign
velocity-filter-weight,sign
responsive,sign
show-actions,sign
clear-label,sign
download-label,sign
download-format,sign
download-filename,sign
lightbox,lightbox
loop,lightbox
keyboard,lightbox
zoom,"lightbox, media-gallery"
fullscreen,lightbox
index,"lightbox, media-gallery"
media-gallery,media-gallery
activation,media-gallery
auto-height,media-gallery
width-strategy,sidebar
wide-class,sidebar
collapsed-class,sidebar
collapsed,sidebar
storage-key,sidebar
step-index,stepper
popconfirm-modal,popconfirm
popconfirm-action,popconfirm
popconfirm-modal-target,popconfirm
refresh-interval,csrf-keeper
endpoint,csrf-keeper
copy-target,mockup-code
copy-text,mockup-code
prefix,mockup-code
